method,t,wnorm,loss
OGD,92701,inf,nan
OGD,92751,inf,nan
OGD,92801,inf,inf
OGD,92851,inf,nan
OGD,92901,inf,nan
OGD,92951,inf,nan
OGD,93001,inf,inf
OGD,93051,inf,inf
OGD,93101,inf,nan
OGD,93151,inf,nan
OGD,93201,inf,inf
OGD,93251,inf,inf
OGD,93301,inf,nan
OGD,93351,inf,inf
OGD,93401,inf,inf
OGD,93451,inf,inf
OGD,93501,inf,nan
OGD,93551,inf,inf
OGD,93601,inf,inf
OGD,93651,inf,inf
OGD,93701,inf,nan
OGD,93751,inf,nan
OGD,93801,inf,inf
OGD,93851,inf,inf
OGD,93901,inf,nan
OGD,93951,inf,nan
OGD,94001,inf,inf
OGD,94051,inf,inf
OGD,94101,inf,nan
OGD,94151,inf,inf
OGD,94201,inf,inf
OGD,94251,inf,inf
OGD,94301,inf,nan
OGD,94351,inf,nan
OGD,94401,inf,inf
OGD,94451,inf,nan
OGD,94501,inf,nan
OGD,94551,inf,nan
OGD,94601,inf,inf
OGD,94651,inf,inf
OGD,94701,inf,nan
OGD,94751,inf,inf
OGD,94801,inf,inf
OGD,94851,inf,inf
OGD,94901,inf,nan
OGD,94951,inf,inf
OGD,95001,inf,inf
OGD,95051,inf,inf
OGD,95101,inf,inf
OGD,95151,inf,inf
OGD,95201,inf,nan
OGD,95251,inf,inf
OGD,95301,inf,nan
OGD,95351,inf,nan
OGD,95401,inf,nan
OGD,95451,inf,nan
OGD,95501,inf,nan
OGD,95551,inf,nan
OGD,95601,inf,inf
OGD,95651,inf,inf
OGD,95701,inf,nan
OGD,95751,inf,inf
OGD,95801,inf,inf
OGD,95851,inf,nan
OGD,95901,inf,nan
OGD,95951,inf,inf
OGD,96001,inf,nan
OGD,96051,inf,nan
OGD,96101,inf,inf
OGD,96151,inf,nan
OGD,96201,inf,nan
OGD,96251,inf,inf
OGD,96301,inf,inf
OGD,96351,inf,inf
OGD,96401,inf,nan
OGD,96451,inf,inf
OGD,96501,inf,nan
OGD,96551,inf,nan
OGD,96601,inf,nan
OGD,96651,inf,inf
OGD,96701,inf,inf
OGD,96751,inf,nan
OGD,96801,inf,nan
OGD,96851,inf,inf
OGD,96901,inf,nan
OGD,96951,inf,inf
OGD,97001,inf,inf
OGD,97051,inf,inf
OGD,97101,inf,inf
OGD,97151,inf,nan
OGD,97201,inf,inf
OGD,97251,inf,nan
OGD,97301,inf,inf
OGD,97351,inf,inf
OGD,97401,inf,inf
OGD,97451,inf,nan
OGD,97501,inf,inf
OGD,97551,inf,nan
OGD,97601,inf,nan
OGD,97651,inf,inf
OGD,97701,inf,inf
OGD,97751,inf,inf
OGD,97801,inf,nan
OGD,97851,inf,inf
OGD,97901,inf,inf
OGD,97951,inf,inf
OGD,98001,inf,inf
OGD,98051,inf,inf
OGD,98101,inf,nan
OGD,98151,inf,nan
OGD,98201,inf,inf
OGD,98251,inf,nan
OGD,98301,inf,nan
OGD,98351,inf,inf
OGD,98401,inf,inf
OGD,98451,inf,nan
OGD,98501,inf,inf
OGD,98551,inf,nan
OGD,98601,inf,nan
OGD,98651,inf,inf
OGD,98701,inf,inf
OGD,98751,inf,inf
OGD,98801,inf,inf
OGD,98851,inf,inf
OGD,98901,inf,nan
OGD,98951,inf,inf
OGD,99001,inf,nan
OGD,99051,inf,nan
OGD,99101,inf,inf
OGD,99151,inf,nan
OGD,99201,inf,nan
OGD,99251,inf,nan
OGD,99301,inf,nan
OGD,99351,inf,inf
OGD,99401,inf,inf
OGD,99451,inf,nan
OGD,99501,inf,nan
OGD,99551,inf,inf
OGD,99601,inf,inf
OGD,99651,inf,nan
OGD,99701,inf,nan
OGD,99751,inf,inf
OGD,99801,inf,inf
OGD,99851,inf,inf
OGD,99901,inf,inf
OGD,99951,inf,inf
OGD,100001,inf,inf
OGD,100051,inf,inf
OGD,100101,inf,inf
OGD,100151,inf,inf
OGD,100201,inf,inf
OGD,100251,inf,inf
OGD,100301,inf,inf
OGD,100351,inf,inf
OGD,100401,inf,nan
OGD,100451,inf,inf
OGD,100501,inf,inf
OGD,100551,inf,nan
OGD,100601,inf,inf
OGD,100651,inf,inf
OGD,100701,inf,nan
OGD,100751,inf,inf
OGD,100801,inf,inf
OGD,100851,inf,inf
OGD,100901,inf,inf
OGD,100951,inf,inf
OGD,101001,inf,inf
OGD,101051,inf,nan
OGD,101101,inf,inf
OGD,101151,inf,nan
OGD,101201,inf,inf
OGD,101251,inf,nan
OGD,101301,inf,nan
OGD,101351,inf,nan
OGD,101401,inf,nan
OGD,101451,inf,nan
OGD,101501,inf,nan
OGD,101551,inf,nan
OGD,101601,inf,inf
OGD,101651,inf,nan
OGD,101701,inf,inf
OGD,101751,inf,nan
OGD,101801,inf,inf
OGD,101851,inf,nan
OGD,101901,inf,inf
OGD,101951,inf,nan
OGD,102001,inf,inf
OGD,102051,inf,nan
OGD,102101,inf,nan
OGD,102151,inf,nan
OGD,102201,inf,inf
OGD,102251,inf,nan
OGD,102301,inf,nan
OGD,102351,inf,nan
OGD,102401,inf,inf
OGD,102451,inf,nan
OGD,102501,inf,inf
OGD,102551,inf,nan
OGD,102601,inf,inf
OGD,102651,inf,nan
OGD,102701,inf,inf
OGD,102751,inf,nan
OGD,102801,inf,inf
OGD,102851,inf,inf
OGD,102901,inf,inf
OGD,102951,inf,nan
OGD,103001,inf,inf
OGD,103051,inf,nan
OGD,103101,inf,inf
OGD,103151,inf,nan
OGD,103201,inf,inf
OGD,103251,inf,nan
OGD,103301,inf,inf
OGD,103351,inf,nan
OGD,103401,inf,inf
OGD,103451,inf,inf
OGD,103501,inf,inf
OGD,103551,inf,nan
OGD,103601,inf,inf
OGD,103651,inf,inf
OGD,103701,inf,inf
OGD,103751,inf,nan
OGD,103801,inf,inf
OGD,103851,inf,nan
OGD,103901,inf,inf
OGD,103951,inf,nan
OGD,104001,inf,nan
OGD,104051,inf,inf
OGD,104101,inf,inf
OGD,104151,inf,nan
OGD,104201,inf,nan
OGD,104251,inf,inf
OGD,104301,inf,inf
OGD,104351,inf,nan
OGD,104401,inf,inf
OGD,104451,inf,nan
OGD,104501,inf,inf
OGD,104551,inf,nan
OGD,104601,inf,inf
OGD,104651,inf,nan
OGD,104701,inf,inf
OGD,104751,inf,inf
OGD,104801,inf,inf
OGD,104851,inf,nan
OGD,104901,inf,inf
OGD,104951,inf,inf
OGD,105001,inf,inf
OGD,105051,inf,inf
OGD,105101,inf,inf
OGD,105151,inf,inf
OGD,105201,inf,inf
OGD,105251,inf,inf
OGD,105301,inf,inf
OGD,105351,inf,inf
OGD,105401,inf,nan
OGD,105451,inf,nan
OGD,105501,inf,inf
OGD,105551,inf,nan
OGD,105601,inf,inf
OGD,105651,inf,inf
OGD,105701,inf,inf
OGD,105751,inf,inf
OGD,105801,inf,inf
OGD,105851,inf,inf
OGD,105901,inf,inf
OGD,105951,inf,nan
OGD,106001,inf,inf
OGD,106051,inf,nan
OGD,106101,inf,inf
OGD,106151,inf,nan
OGD,106201,inf,inf
OGD,106251,inf,inf
OGD,106301,inf,nan
OGD,106351,inf,inf
OGD,106401,inf,inf
OGD,106451,inf,inf
OGD,106501,inf,inf
OGD,106551,inf,nan
OGD,106601,inf,inf
OGD,106651,inf,inf
OGD,106701,inf,nan
OGD,106751,inf,inf
OGD,106801,inf,inf
OGD,106851,inf,inf
OGD,106901,inf,inf
OGD,106951,inf,nan
OGD,107001,inf,inf
OGD,107051,inf,inf
OGD,107101,inf,nan
OGD,107151,inf,nan
OGD,107201,inf,inf
OGD,107251,inf,inf
OGD,107301,inf,nan
OGD,107351,inf,inf
OGD,107401,inf,inf
OGD,107451,inf,inf
OGD,107501,inf,inf
OGD,107551,inf,inf
OGD,107601,inf,inf
