stream,phase,window,mode,cap,lr,w_max,true_blowup,new_div,L_ratio,P_ratio,jane_div,new_div_k5,new_div_k10,new_div_k20
jane,full,2,snomd,8.0,0.5,4.02830470032778,false,false,0.8226391626408445,0.64953593605883,false,false,false,false
jane,full,2,snomd,32.0,0.5,16.02780968407729,false,true,4.225181362205737,10.059580154860399,true,true,true,true
jane,full,2,snomd,0.5,1.0,0.88704919899826,false,false,0.8327979747383595,0.7218126643984762,false,false,false,false
jane,full,2,snomd,2.0,1.0,2.1315177332001487,false,false,0.7404894952054161,0.6075899941569658,false,false,false,false
jane,full,2,snomd,8.0,1.0,8.38983591601836,false,false,0.9111473659279875,1.2560712159783607,false,false,false,false
jane,full,2,snomd,32.0,1.0,33.25660373522534,false,true,12.42085702348227,34.6265350780388,true,true,true,true
jane,full,2,snomd,0.5,2.0,1.3547725862804025,false,false,0.7895381605012374,0.6600975826450775,false,false,false,false
jane,full,2,snomd,2.0,2.0,4.529664499106138,false,false,0.7325138907902591,0.5527920106510754,false,false,false,false
jane,full,2,snomd,8.0,2.0,16.830985069302656,false,false,1.402635870531944,3.930088034004008,true,false,false,false
jane,full,2,snomd,32.0,2.0,66.56819411268911,false,true,37.84610847566397,110.8586310839377,true,true,true,true
jane,full,2,snomd,0.5,4.0,2.688216015103529,false,false,0.7681937480737778,0.6024114154116365,false,false,false,false
jane,full,2,snomd,2.0,4.0,9.43915225098391,false,false,0.8844295072466962,1.4304231298732046,false,false,false,false
jane,full,2,snomd,8.0,4.0,34.128451405151985,false,true,3.3908395895529324,14.026872868467434,true,true,true,true
jane,full,2,snomd,32.0,4.0,135.01901995803627,false,true,129.06955593797704,380.6512283583171,true,true,true,true
jane,full,2,snomd,0.5,8.0,5.090775407254427,false,false,0.8303574582087683,0.9129416434277813,false,false,false,false
jane,full,2,snomd,2.0,8.0,18.961619152433144,false,false,1.6117936450871853,4.9580110589374184,true,false,false,false
jane,full,2,snomd,8.0,8.0,70.00507324191415,false,true,12.108405813569025,57.753165379073316,true,true,true,true
jane,full,2,snomd,32.0,8.0,276.5743409748195,false,true,537.0306409783984,1568.8693752840566,true,true,true,true
jane,full,2,ogd,0.0,0.01,532.9098188860025,false,true,806.1164656787369,3332.009304177508,true,true,true,true
jane,full,2,ogd,0.0,0.1,3.7814063936659046e+25,true,true,8.068638815151084e+48,4.1650281810381394e+49,true,true,true,true
jane,full,2,ogd,0.0,1.0,2.953419199306828e+153,true,true,2.396715220105925e+299,1.249700551612017e+299,true,true,true,true
jane,full,2,ogd,0.0,4.0,1.133951346059637e+154,true,true,2.4067653867012797e+299,1.249700551612017e+299,true,true,true,true
jane,full,2,snomd,1000000000.0,0.01,0.12704592757017202,false,false,0.9795691618551509,0.9641483451004164,false,false,false,false
jane,full,2,snomd,1000000000.0,0.1,1.2060691653623825,false,false,0.9091844243046232,0.8201415826805979,false,false,false,false
jane,full,2,snomd,1000000000.0,1.0,490606.57313066506,false,true,56305347076.1392,49257076225.19003,true,true,true,true
jane,full,2,snomd,1000000000.0,4.0,544714096.4647541,true,true,4.1100531316030056e+16,3.4107242046595256e+16,true,true,true,true
jane,half,0,snomd,0.5,0.5,0.5903613203086753,false,false,0.8690640788447119,1.0476097226401115,false,false,false,false
jane,half,0,snomd,2.0,0.5,0.942981865603858,false,false,0.6953771537372841,0.7717355135986844,false,false,false,false
jane,half,0,snomd,8.0,0.5,3.257452517184324,false,false,0.8351862532501717,1.1501337238040694,false,false,false,false
jane,half,0,snomd,32.0,0.5,3.9430949921200202,false,false,0.9638558101784148,1.674532730706203,false,false,false,false
jane,half,0,snomd,0.5,1.0,0.8192538824035761,false,false,0.8103110463410944,1.0474812759702608,false,false,false,false
jane,half,0,snomd,2.0,1.0,1.8997535119656412,false,false,0.63732655569437,0.659219227275656,false,false,false,false
jane,half,0,snomd,8.0,1.0,7.21074175424751,false,false,1.4379268762928357,4.125538325568954,false,false,false,false
jane,half,0,snomd,32.0,1.0,16.936655512799774,false,true,10.131136388307809,31.023465134053776,true,true,true,true
jane,half,0,snomd,0.5,2.0,1.2686258816820952,false,false,0.738115412368502,0.9450610964427829,false,false,false,false
jane,half,0,snomd,2.0,2.0,3.803541346077674,false,false,0.7742447653282747,1.2921807287030116,false,false,false,false
jane,half,0,snomd,8.0,2.0,15.62797581070436,false,true,4.247852465842324,17.032935802130847,true,true,true,true
jane,half,0,snomd,32.0,2.0,64.34447350128838,false,true,218.90673678785652,529.6465404317083,true,true,true,true
jane,half,0,snomd,0.5,4.0,2.6563522333639193,false,false,0.7743162815269545,0.9146238945251763,false,false,false,false
jane,half,0,snomd,2.0,4.0,7.770881281067523,false,false,1.6610776589508873,5.06419279472475,false,true,false,false
